Date,Price
10/13/15,73797.77824
10/14/15,75175.48549
10/15/15,75858.34908
10/16/15,76373.49179
10/17/15,78901.28508
10/18/15,81728.57994
10/19/15,79371.50255
10/20/15,79422.41782
10/21/15,81210.44222
10/22/15,80500.62349
10/23/15,82618.09962
10/24/15,83492.64422
10/25/15,85148.88793
10/26/15,85352.549
10/27/15,85990.48735
10/28/15,88539.24575
10/29/15,91079.01911
10/30/15,94670.04299
10/31/15,98572.5485
11/1/15,94301.65605
11/2/15,98677.37406
11/3/15,109384.5554
11/4/15,114864.2422
11/5/15,114864.2422
11/6/15,114864.2422
11/7/15,114864.2422
11/8/15,114864.2422
11/9/15,114864.2422
11/10/15,114864.2422
11/11/15,114864.2422
11/12/15,114864.2422
11/13/15,114864.2422
11/14/15,114864.2422
11/15/15,114864.2422
11/16/15,114864.2422
11/17/15,114864.2422
11/18/15,114864.2422
11/19/15,114864.2422
11/20/15,114864.2422
11/21/15,114864.2422
11/22/15,114864.2422
11/23/15,114864.2422
11/24/15,114864.2422
11/25/15,114606.4337
11/26/15,117454.7906
11/27/15,125874.9331
11/28/15,127880.9187
11/29/15,127541.8286
11/30/15,132895.8828
12/1/15,134544.9315
12/2/15,126369.2693
12/3/15,126369.2693
12/4/15,126369.2693
12/5/15,127842.2875
12/6/15,136275.3498
12/7/15,136120.8081
12/8/15,138642.6485
12/9/15,147145.957
12/10/15,146952.7798
12/11/15,146000.9431
12/12/15,159091.3318
12/13/15,153725.5826
12/14/15,153725.5826
12/15/15,153725.5826
12/16/15,153725.5826
12/17/15,153529.595
12/18/15,154046.9803
12/19/15,156640.67
12/20/15,156004.9286
12/21/15,149556.2111
12/22/15,147726.7637
12/23/15,146749.4804
12/24/15,149627.2248
12/25/15,154128.1388
12/26/15,154161.9548
12/27/15,141842.774
12/28/15,143638.4054
12/29/15,142698.3196
12/30/15,146739.3356
12/31/15,144730.6632
1/1/16,145542.248
1/2/16,147337.8794
1/3/16,147249.9577
1/4/16,146069.7781
1/5/16,146725.8092
1/6/16,146553.3474
1/7/16,145718.0914
1/8/16,155254.2126
1/9/16,153688.5303
1/10/16,152315.5994
1/11/16,152183.7169
1/12/16,151913.1886
1/13/16,146779.9148
1/14/16,146360.596
1/15/16,145434.0367
1/16/16,127810.0841
1/17/16,133665.397
1/18/16,130144.2978
1/19/16,132355.3005
1/20/16,129047.3929
1/21/16,143926.1001
1/22/16,144437.1168
1/23/16,138712.5634
1/24/16,140378.9387
1/25/16,146012.0117
1/26/16,141791.7351
1/27/16,141842.4509
1/28/16,143019.7813
1/29/16,137520.7428
1/30/16,137183.8452
1/31/16,137104.149
2/1/16,133296.8437
2/2/16,134521.2673
2/3/16,135100.8761
2/4/16,133630.1188
2/5/16,140556.4439
2/6/16,139292.1722
2/7/16,136010.1374
2/8/16,136752.7612
2/9/16,134452.4388
2/10/16,135010.3122
2/11/16,137096.9039
2/12/16,137020.8302
2/13/16,138404.6462
2/14/16,141646.8329
2/15/16,147294.3962
2/16/16,144526.7642
2/17/16,147595.0682
2/18/16,150413.416
2/19/16,152583.3264
2/20/16,152413.0663
2/21/16,158477.2234
2/22/16,158875.7044
2/23/16,158509.8264
2/24/16,152141.3747
2/25/16,153579.529
2/26/16,153434.6268
2/27/16,156082.7145
2/28/16,156905.0345
2/29/16,157126.0104
3/1/16,158107.7228
3/2/16,156890.5443
3/3/16,152293.522
3/4/16,151717.5358
3/5/16,147569.7103
3/6/16,143487.0909
3/7/16,146080.8402
3/8/16,149330.272
3/9/16,148957.1489
3/10/16,149544.0028
3/11/16,150695.9753
3/12/16,151931.2665
3/13/16,148739.7956
3/14/16,149442.5713
3/15/16,150348.21
3/16/16,150489.4896
3/17/16,150728.5783
3/18/16,151576.2561
3/19/16,148402.898
3/20/16,148602.1385
3/21/16,148989.7519
3/22/16,149254.1984
3/23/16,150942.309
3/24/16,151257.4713
3/25/16,149598.3411
3/26/16,150851.7451
3/27/16,151054.6082
3/28/16,154072.1965
3/29/16,153239.0089
3/30/16,150844.5
3/31/16,149540.3802
4/1/16,150714.0881
4/2/16,151311.8096
4/3/16,152134.1296
4/4/16,152210.2033
4/5/16,151960.247
4/6/16,153007.1654
4/7/16,152681.1354
4/8/16,152873.1308
4/9/16,151963.8695
4/10/16,151956.6244
4/11/16,153383.9111
4/12/16,153579.529
4/13/16,154977.8353
4/14/16,154173.6281
4/15/16,154441.6971
4/16/16,156111.695
4/17/16,157002.8435
4/18/16,156137.0529
4/19/16,156126.1852
4/20/16,158332.3212
4/21/16,160469.6286
4/22/16,163834.9822
4/23/16,162443.9211
4/24/16,165081.1411
4/25/16,168258.1218
4/26/16,168877.5787
4/27/16,170478.748
4/28/16,161320.929
4/29/16,163628.4965
4/30/16,166215.0008
5/1/16,164476.1744
5/2/16,165548.4507
5/3/16,161723.0326
5/4/16,163820.492
5/5/16,162541.73
5/6/16,163012.6622
5/7/16,167479.2725
5/8/16,167334.3703
5/9/16,167653.1551
5/10/16,168149.4452
5/11/16,164026.9776
5/12/16,164602.9638
5/13/16,165367.3229
5/14/16,165910.7062
5/15/16,166243.9812
5/16/16,167174.9779
5/17/16,165070.2734
5/18/16,164537.7578
5/19/16,165034.0479
5/20/16,158810.4984
5/21/16,161444.0959
5/22/16,161672.3169
5/23/16,160295.746
5/24/16,161451.341
5/25/16,161929.5183
5/26/16,163559.668
5/27/16,164820.3171
5/28/16,170725.0817
5/29/16,189555.1225
5/30/16,190268.7658
5/31/16,192924.0986
6/1/16,192485.7695
6/2/16,193753.6637
6/3/16,194851.2979
6/4/16,206943.3864
6/5/16,208776.3992
6/6/16,208363.4279
6/7/16,212565.5917
6/8/16,210008.0679
6/9/16,211275.9622
6/10/16,209192.993
6/11/16,210225.4212
6/12/16,220799.6592
6/13/16,245563.445
6/14/16,255760.9373
6/15/16,248131.8365
6/16/16,253141.83
6/17/16,278854.7252
6/18/16,272515.254
6/19/16,274953.2335
